"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"400","Jeff Taffe","PIT","L","45","431.36666666667","5","7","2","5","12","70.59","56","8.93","98","79","54","21","9","9","8","3","3","0","0","7","7","9","52","31","10","74","78","48.68"
"404","Tomas Kopecky","DET","R","77","740.11666666667","5","7","5","2","12","52.17","87","5.75","176","147","87","31","4","6","43","20","19","1","0","23","13","11","111","99","17","44","65","40.37"
"408","Andreas Lilja","DET","D","79","1440.3666666667","2","10","6","4","12","27.27","72","2.78","133","99","23","3","2","9","93","42","39","3","0","13","38","17","133","102","114","0","1","0.00"
"461","David Steckel","WSH","C","67","908.75","5","7","5","2","12","54.55","66","7.58","129","97","81","32","6","7","34","14","12","2","0","16","21","31","91","54","42","507","393","56.33"
"490","Kevin Bieksa","VAN","D","34","795.31666666667","2","10","3","7","12","34.29","64","3.13","153","102","26","6","3","5","90","25","18","4","3","13","39","16","52","44","33","0","0","-"
"596","Freddy Meyer","NYI, PHX","D","57","1068.3166666667","3","9","5","4","12","27.91","51","5.88","125","77","25","4","2","11","22","11","11","0","0","10","27","38","88","57","72","0","0","-"
"654","Zack Stortini","EDM","R","66","539.33333333333","3","9","5","4","12","57.14","38","7.89","62","49","36","25","0","6","201","50","23","23","4","45","12","5","99","59","17","3","4","42.86"
"734","Dustin Boyd","CGY","C","48","471.2","7","5","4","1","12","80.00","46","15.22","79","61","54","31","2","5","6","3","3","0","0","13","11","20","39","34","14","65","64","50.39"
"785","Steve Downie","PHI","R","32","315.18333333333","6","6","4","2","12","75.00","25","24.00","40","32","20","11","2","3","73","25","19","5","1","22","9","14","29","35","7","5","10","33.33"
"790","Keith Yandle","PHX","D","43","605.15","5","7","3","4","12","42.86","72","6.94","128","91","35","13","5","6","14","7","7","0","0","6","16","14","13","25","33","0","0","-"
"3","Patrice Brisebois","MTL","D","43","723.8","3","8","4","4","11","33.33","42","7.14","112","72","33","4","1","2","26","8","7","0","1","7","37","15","29","60","40","0","0","-"
"27","Keith Carney","MIN","D","61","815.78333333333","1","10","4","6","11","35.48","27","3.70","61","44","13","2","1","2","42","17","16","0","1","8","17","6","39","41","37","0","0","-"
"150","Bryce Salvador","N.J, STL","D","64","1267.15","1","10","4","6","11","22.00","29","3.45","68","51","7","1","1","3","54","21","17","4","0","15","26","19","75","93","104","0","1","0.00"
"164","Kyle McLaren","S.J","D","61","1120.0666666667","3","8","0","8","11","26.83","39","7.69","96","60","19","1","1","3","84","36","32","4","0","23","29","11","127","88","75","0","0","-"
"173","Brad Isbister","VAN","L","55","595.28333333333","6","5","3","2","11","73.33","71","8.45","107","90","62","33","5","10","38","13","9","4","0","19","11","8","26","30","10","8","9","47.06"
