"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"826","Tomas Kubalik","CBJ","R","4","59","0","2","1","1","2","66.67","5","0.00","6","5","3","3","0","1","0","0","0","0","0","0","1","2","14","8","0","1","0","100.00"
"828","Philip Larsen","DAL","D","6","80.6","0","2","0","2","2","28.57","11","0.00","18","17","4","0","0","1","0","0","0","0","0","3","1","1","1","4","3","0","0","-"
"856","Brayden Schenn","L.A","C","8","89.983333333333","0","2","2","0","2","50.00","11","0.00","13","13","10","5","0","0","0","0","0","0","0","2","2","0","12","13","1","17","34","33.33"
"868","Tomas Vincour","DAL","C","24","226.25","1","1","0","1","2","50.00","26","3.85","52","39","21","6","2","2","4","1","1","0","0","4","3","4","36","29","11","3","1","75.00"
"872","Casey Wellman","MIN","C","15","159.65","1","1","0","1","2","50.00","20","5.00","34","25","13","6","2","1","4","2","2","0","0","0","3","3","5","18","3","8","8","50.00"
"875","Aaron Volpatti","VAN","L","15","102.46666666667","1","1","1","0","2","66.67","6","16.67","12","8","7","2","0","0","16","5","3","2","0","3","0","0","36","18","3","0","0","-"
"887","Nino Niederreiter","NYI","R","9","122.33333333333","1","1","1","0","2","100.00","12","8.33","19","15","13","4","0","3","8","3","3","0","0","4","5","5","16","8","1","0","0","-"
"44","Dave Scatchard","STL","C","8","38.05","0","1","1","0","1","100.00","6","0.00","9","9","6","2","0","0","6","3","3","0","0","0","1","0","7","5","0","12","14","46.15"
"57","Daymond Langkow","CGY","C","4","59.033333333333","0","1","0","1","1","33.33","6","0.00","13","9","8","0","1","0","0","0","0","0","0","2","4","5","4","2","0","23","20","53.49"
"91","Brian Willsie","WSH","R","1","6.25","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","-"
"179","Nolan Yonkman","PHX","D","16","194.01666666667","0","1","1","0","1","11.11","8","0.00","14","9","1","0","0","0","39","14","12","1","1","6","2","1","41","23","11","0","0","-"
"183","Andrew Hutchinson","PIT","D","5","76.5","0","1","0","1","1","100.00","2","0.00","10","6","4","0","0","0","6","2","2","0","0","0","1","0","0","5","8","0","0","-"
"186","Michael Zigomanis","TOR","C","8","55.8","0","1","0","1","1","100.00","7","0.00","10","8","4","2","0","0","4","2","2","0","0","0","1","4","6","2","3","21","19","52.50"
"236","Brian Fahey","WSH","D","7","82.733333333333","0","1","1","0","1","33.33","4","0.00","7","4","2","0","0","0","2","1","1","0","0","0","1","0","9","19","6","0","0","-"
"238","David Koci","COL","L","35","143.05","1","0","0","0","1","33.33","9","11.11","15","10","8","4","0","0","80","16","5","8","3","12","1","1","28","11","5","0","0","-"
"250","Warren Peters","MIN","C","11","95.833333333333","1","0","0","0","1","50.00","11","9.09","19","17","9","4","0","0","4","2","2","0","0","1","1","1","24","9","7","49","30","62.03"
"321","Petr Prucha","PHX","R","11","126.05","0","1","1","0","1","33.33","10","0.00","19","15","11","4","1","2","4","2","2","0","0","0","1","4","13","15","3","3","2","60.00"
"322","Joe Callahan","FLA","D","27","428.73333333333","0","1","1","0","1","6.25","21","0.00","46","33","9","1","0","0","12","6","6","0","0","2","4","1","46","46","36","0","0","-"
"350","Kris Newbury","NYR","C","11","83.966666666667","0","1","1","0","1","100.00","6","0.00","14","10","8","4","0","1","35","9","5","3","1","5","0","0","19","7","1","34","22","60.71"
"366","Patrick Rissmiller","ATL, FLA","L","10","103.65","0","1","1","0","1","50.00","14","0.00","24","21","11","5","1","1","0","0","0","0","0","1","0","2","17","11","2","2","2","50.00"
"370","Andre Benoit","OTT","D","8","134.68333333333","0","1","1","0","1","20.00","17","0.00","27","21","5","1","0","2","6","3","3","0","0","1","3","3","5","8","12","0","0","-"
"414","David Liffiton","COL","D","4","29.833333333333","1","0","0","0","1","33.33","2","50.00","5","4","0","0","0","1","17","3","1","1","1","2","0","1","3","3","3","0","0","-"
"426","Corey Locke","OTT","C","5","45.866666666667","0","1","1","0","1","100.00","6","0.00","11","9","6","4","0","1","0","0","0","0","0","0","1","0","1","0","0","7","25","21.88"
"428","Paul Bissonnette","PHX","L","48","252.23333333333","1","0","0","0","1","12.50","18","5.56","38","24","19","10","0","1","71","16","3","13","0","20","4","2","122","52","5","2","1","66.67"
"431","Kyle Quincey","COL","D","21","411.21666666667","0","1","1","0","1","5.56","39","0.00","73","49","21","2","0","7","18","9","9","0","0","5","7","6","28","36","26","0","0","-"
"432","Tyson Strachan","STL","D","29","352.06666666667","0","1","1","0","1","12.50","28","0.00","60","42","12","1","2","1","39","8","2","5","1","9","8","3","23","48","30","0","0","-"
"435","Nigel Dawes","ATL, MTL","L","13","127.61666666667","0","1","0","1","1","50.00","12","0.00","20","15","9","3","0","1","0","0","0","0","0","0","3","6","19","20","3","0","0","-"
"459","Steve MacIntyre","EDM","L","34","120.2","0","1","1","0","1","50.00","6","0.00","10","8","4","1","0","1","93","24","14","7","3","11","7","1","23","11","4","0","0","-"
