"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"92","Daymond Langkow","CGY","C","72","1361.6833333333","18.912268518519","53.85","49.66","52.02","39.04","37.45","51.04","26.66","25.95","50.67","2.47","2.2","52.83","21.77","18.73","53.75","8.72","7.98","52.24","1.23","1.15","51.85","17.39","14.34","54.81","0.71","0.65","52.17","38.32","37.68","50.42","0.89","0.83","51.85","9.26","91.51","1.008","9.34","11.59","12.51","43.67","42.74","17.23","18.37","21.19","44.84"
"830","Davis Drewiske","L.A","D","42","640.3","15.245238095238","50.79","49.66","50.56","38.7","34.67","52.75","27.83","23.05","54.70","1.69","2.62","39.13","21.27","21.65","49.56","9.28","7.4","55.62","0.94","1.41","40.00","15.99","18.99","45.71","0.5","1.12","30.77","36.95","35.19","51.22","0.41","0.54","42.86","6.06","88.62","0.947","6.37","10.96","7.4","46.1","46.26","16.59","17.9","16.12","50.72"
"172","Vincent Lecavalier","T.B","C","82","1622.0166666667","19.780691056911","62.74","49.6","55.84","48.27","38.88","55.39","34.77","28.63","54.84","3.51","2.63","57.23","30.18","25.34","54.36","12.1","10.58","53.34","1.92","1.59","54.74","24.12","19.68","55.07","1.23","0.94","56.82","41.94","30.03","58.28","0.96","0.32","75.00","10.11","90.83","1.009","14.69","12.87","7.81","37.21","65.30","26.15","19.79","13.54","65.89"
"204","Trent Hunter","NYI","R","61","925.88333333333","15.178415300546","69.99","49.57","58.54","51.32","37.33","57.89","36.1","27.87","56.43","2.72","1.94","58.33","31.95","25.92","55.21","14.39","9.59","60.00","1.3","1.23","51.28","23.42","21.77","51.82","1.04","0.69","60.00","45.87","27.33","62.66","0.84","0.19","81.82","7.54","93.02","1.006","15.23","13.35","8.68","37.2","63.69","23.39","16.98","15.03","60.88"
"824","Zack Smith","OTT","C","15","135.66666666667","9.0444444444444","45.55","49.53","47.91","33.17","37.59","46.88","24.32","26.54","47.83","1.77","1.33","57.14","17.69","20.34","46.51","7.52","8.85","45.95","0.88","0.44","66.67","13.56","15.33","46.94","1.18","0.59","66.67","33.22","37.69","46.85","0","0.64","0.00","7.27","95.00","1.023","12.83","10.61","11.06","49.98","53.70","19.46","13.27","18.13","51.76"
"791","James van Riemsdyk","PHI","L","78","1010.8833333333","12.960042735043","66.06","49.44","57.19","49.68","36.8","57.45","36.92","27.24","57.54","2.85","2.31","55.17","31.75","22.14","58.92","14.36","8.84","61.89","1.78","1.6","52.63","23.19","17.73","56.67","0.71","0.55","56.25","43.47","32.66","57.09","0.69","0.34","66.67","7.72","91.50","0.992","15.19","14.6","6.47","43.15","70.14","22.85","20.36","12.17","65.25"
"372","Zenon Konopka","T.B","C","74","602.26666666667","8.1387387387387","40.85","49.41","45.25","32.18","36.56","46.81","22.81","26.7","46.08","1.49","2.29","39.47","17.14","23.51","42.16","6.38","9.07","41.29","0.5","1.69","22.73","14.35","19.26","42.69","0.53","0.66","44.44","29.21","31.66","47.99","0.86","0.14","85.71","6.55","91.42","0.980","7.27","15.54","15.54","57.88","31.88","11.26","21.42","25.01","31.04"
"589","Wes O'Neill","COL","D","2","19.433333333333","9.7166666666667","46.31","49.4","48.39","40.14","37.05","52.00","33.96","27.79","55.00","3.09","0","100.00","12.35","27.79","30.77","6.17","15.44","28.57","3.09","0","100.00","8.23","16.47","33.33","0","0","-","44.6","22.3","66.67","0","0","-","9.09","100.00","1.091","12.35","18.52","6.17","61.75","66.67","27.79","21.61","9.26","75.00"
"849","Michael Del Zotto","NYR","D","80","1517.5833333333","18.969791666667","65.79","49.38","57.12","50.01","37.44","57.19","35.62","27.08","56.81","3.44","2.89","54.38","38.23","26.17","59.36","16.49","12.02","57.84","2.06","1.58","56.52","28.99","18.87","60.57","1.42","0.9","61.36","35.29","29.35","54.59","0.4","0.74","35.00","9.66","89.34","0.990","11.78","9.81","4.67","35.42","71.63","26.69","17.16","11.03","70.75"
"362","Andrew Murray","CBJ","C","46","476.51666666667","10.359057971014","44.57","49.36","47.45","35.76","39.29","47.65","27.2","27.58","49.66","0.88","2.27","28.00","19.64","21.41","47.85","9.19","10.45","46.79","0.76","1.13","40.00","13.93","14.61","48.82","0","0.84","0.00","28.55","33.83","45.77","0.18","0.73","20.00","3.24","91.78","0.950","7.18","15.11","12.84","60.44","35.85","12.72","20.4","19.64","39.30"
