"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"23","Eric Brewer","ANA, T.B, TOR","D","44","822.13333333333","18.684848484848","0.22","0.58","0.22","0.36","0.8","28.95","2.41","9.09","6.57","3.94","1.53","0.15","0","0.15","2.63","1.31","1.31","0","0","0.29","1.17","0.58","6.35","4.09","5.25","0","0","-"
"33","Dan Boyle","NYR","D","65","1315.8833333333","20.244358974359","0.41","0.5","0.14","0.36","0.91","32.79","5.29","7.76","11.13","7.48","3.65","1.05","0.32","0.68","0.91","0.46","0.46","0","0","0.27","1.5","0.91","2.23","5.47","3.6","0","0","-"
"105","Fedor Tyutin","CBJ","D","67","1334.9","19.923880597015","0.13","0.54","0.18","0.36","0.67","30.61","2.52","5.36","5.89","4.14","1.21","0.22","0.13","0.04","1.8","0.9","0.9","0","0","0.27","1.03","0.45","4.76","6.65","5.26","0","0","-"
"125","PA Parenteau","MTL","R","56","839.33333333333","14.988095238095","0.57","1","0.64","0.36","1.57","59.46","6.93","8.25","12.65","9.44","7.36","2.86","0.29","0.71","2.14","0.79","0.71","0","0.07","0.86","0.93","1.29","2.29","4.29","1.36","0.71","1.14","2.75"
"133","Keith Ballard","MIN","D","14","168.76666666667","12.054761904762","0","0.36","0","0.36","0.36","12.50","1.78","0.00","3.56","2.49","1.42","0","0","0","9.24","3.56","2.84","0.71","0","2.49","1.78","0.71","5.33","7.11","7.11","0","0","-"
"187","Loui Eriksson","BOS","L","81","1496.6333333333","18.47695473251","0.88","1","0.64","0.36","1.88","62.67","6.78","13.02","10.62","9.26","6.82","3.97","0.44","0.76","0.56","0.28","0.28","0","0","0.6","0.96","1.8","1.16","4.73","0.92","0.16","0.32","1.34"
"249","Alexei Emelin","MTL","D","68","1347.5666666667","19.817156862745","0.13","0.49","0.13","0.36","0.62","31.82","1.91","6.98","5.34","3.12","1.02","0","0.09","0.36","2.63","1.07","0.98","0.04","0.04","0.62","2.49","0.71","9.08","6.23","5.16","0","0","-"
"373","Victor Bartley","NSH","D","37","497.08333333333","13.434684684685","0","1.21","0.84","0.36","1.21","50.00","3.38","0.00","7.85","5.43","0.72","0.24","0.24","0.36","3.14","1.21","0.97","0.24","0","0.24","1.09","0.24","9.29","4.71","6.4","0","0","-"
"398","Patrick Maroon","ANA","L","71","1014.0833333333","14.282863849765","0.53","1.48","1.12","0.36","2.01","62.96","7.1","7.50","11.95","10.41","8.17","4.38","0.41","1.12","4.85","1.66","1.18","0.47","0","1.18","1.48","0.95","7.1","6.75","0.59","0.41","0.83","1.97"
"473","Justin Schultz","EDM","D","81","1831.5166666667","22.611316872428","0.2","0.82","0.46","0.36","1.02","33.33","4","4.92","9.86","6.32","2.72","0.92","0.13","0.46","0.39","0.2","0.2","0","0","0.2","2.26","0.66","1.34","4.88","3.73","0.03","0","3.28"
"475","Patrick Wiercioch","OTT","D","56","1011.15","18.05625","0.18","0.59","0.24","0.36","0.77","28.26","4.69","3.80","10.74","6.94","2.61","0.36","0.12","0.47","1.66","0.83","0.83","0","0","0.24","2.79","0.59","2.97","6.41","2.61","0","0","-"
"476","Colby Robak","ANA, FLA","D","12","167.01666666667","13.918055555556","0","0.36","0","0.36","0.36","14.29","2.87","0.00","5.75","4.31","1.8","0.72","0","0.36","0.72","0.36","0.36","0","0","0.36","2.87","0.72","5.75","8.62","3.59","0","0","-"
"498","Mark Borowiecki","OTT","D","63","1002.6166666667","15.91455026455","0.06","0.6","0.24","0.36","0.66","26.83","1.8","3.33","4.61","2.99","0.84","0.18","0.12","0.36","6.4","2.03","1.26","0.78","0","1.38","1.26","0.54","13.94","6.76","6.1","0","0","-"
"507","Zach Redmond","COL","D","59","1011.6","17.145762711864","0.3","0.89","0.53","0.36","1.19","43.48","5.52","5.38","10.5","7.06","3.68","0.65","0.3","0.42","1.42","0.71","0.71","0","0","0.36","1.01","1.19","3.5","3.62","4.51","0","0","-"
"666","Michael Chaput","CBJ","C","33","336.56666666667","10.19898989899","0.18","0.71","0.36","0.36","0.89","100.00","4.1","4.35","7.13","6.24","3.74","2.14","0.18","0.36","3.74","1.6","1.43","0.18","0","0.89","0.53","0.71","10.52","4.81","3.57","25.49","26.92","8.67"
"667","Bryan Rust","PIT","R","14","168.36666666667","12.02619047619","0.36","0.36","0","0.36","0.71","33.33","12.12","2.94","17.11","13.9","9.27","4.28","0.36","1.07","1.43","0.71","0.71","0","0","1.43","2.14","0.71","7.48","7.48","1.07","0","0","-"
"716","Andrew Shaw","CHI","C","79","1180.8666666667","14.947679324895","0.76","0.56","0.2","0.36","1.32","47.27","7.42","10.27","11.69","9.5","8.74","5.69","0.25","0.86","3.4","1.22","1.02","0.15","0.05","1.47","0.81","0.86","6.45","8.94","1.68","18.14","18.04","2.55"
"747","Lucas Lessio","ARI","L","26","331.65","12.755769230769","0.36","0.54","0.18","0.36","0.9","71.43","7.96","4.55","11.4","9.77","7.96","5.25","0.72","0.9","1.45","0.72","0.72","0","0","1.09","1.27","1.27","10.67","7.6","1.09","0","0.36","0.00"
"757","Sean Couturier","PHI","C","82","1507.8333333333","18.388211382114","0.6","0.88","0.52","0.36","1.47","61.67","5.89","10.14","10.78","8","5.37","2.43","0.48","0.92","1.11","0.44","0.36","0.08","0","0.92","1.19","1.59","2.87","5.45","1.39","25.59","27.34","1.92"
"794","Morgan Rielly","TOR","D","81","1647.35","20.337654320988","0.29","0.76","0.4","0.36","1.06","44.62","5.39","5.41","11.36","7.61","2.8","0.36","0.18","0.22","0.51","0.25","0.25","0","0","0.33","2.29","1.49","3.57","4.81","3.75","0","0","-"
"854","Bo Horvat","VAN","C","68","833.93333333333","12.263725490196","0.94","0.86","0.5","0.36","1.8","78.13","6.69","13.98","10.22","8.63","7.99","4.82","0.29","0.5","1.15","0.58","0.58","0","0","0.5","0.72","0.94","5.04","3.31","3.38","31.37","29.64","3.70"
"29","Brian Campbell","FLA","D","82","1903.0833333333","23.208333333333","0.09","0.76","0.41","0.35","0.85","34.18","3.72","2.54","6.9","4.92","1.51","0.25","0.03","0.19","0.69","0.35","0.35","0","0","0.16","1.07","0.5","1.39","5.74","2.68","0","0","-"
"37","Bryan Allen","ANA, MTL","D","11","172.95","15.722727272727","0","0.69","0.35","0.35","0.69","40.00","2.08","0.00","10.41","5.2","3.82","0","0.35","0.69","2.08","1.04","1.04","0","0","0","2.78","0","6.94","9.02","5.2","0","0","-"
"54","Michael Ryder","N.J","R","47","680.58333333333","14.480496453901","0.53","1.15","0.79","0.35","1.68","63.33","7.85","6.74","13.75","11.28","8.9","3.7","0.35","0.79","2.64","1.23","1.23","0","0","0.97","1.32","0.88","4.67","3.97","1.23","0.18","0.35","2.94"
"80","Nick Schultz","PHI","D","80","1523.75","19.046875","0.08","0.51","0.16","0.35","0.59","34.09","2.72","2.90","6.1","4.25","1.42","0.28","0.08","0.12","1.85","0.87","0.83","0.04","0","0.32","0.91","0.24","4.45","6.77","6.54","0","0","-"
"86","Lubomir Visnovsky","NYI","D","53","1034.95","19.527358490566","0.29","0.87","0.52","0.35","1.16","37.74","4.93","5.88","10.49","6.96","3.3","0.64","0.06","0.58","0.46","0.23","0.23","0","0","0.41","2.67","2.67","2.2","1.68","3.54","0","0.06","0.00"
